ORF	SMF	SDV
YCR045C	1.038932	0.007564
YCR046C	0.528659	0.039549
YCR047C	NaN	NaN
YCR048W	1.013345	0.009706
YCR049C	1.029588	0.009553
YCR050C	1.008625	0.012745
YCR051W	1.040512	0.009008
YCR053W	0.694711	0.026226
YCR059C	1.049165	0.007797
YCR060W	1.051598	0.013013
YCR061W	1.014082	0.008594
YCR062W	0.980848	0.016807
YCR063W	0.512610	0.023644
YCR065W	1.030603	0.009514
YCR066W	0.951956	0.013515
YCR067C	1.028070	0.006992
YCR068W	0.967227	0.008447
YCR069W	1.066148	0.008746
YCR071C	NaN	NaN
YCR073C	1.033471	0.007297
YCR073W-A	1.026100	0.010691
YCR075C	1.081720	0.009935
YCR075W-A	NaN	NaN
YCR076C	1.116921	0.016233
YCR077C	0.930657	0.018135
YCR079W	1.021715	0.012140
YCR081W	NaN	NaN
YCR082W	1.060865	0.008879
YCR083W	1.074202	0.010287
YCR084C	NaN	NaN
YCR085W	1.039638	0.010749
YCR086W	0.936544	0.017800
YCR087C-A	0.997458	0.009746
YCR087W	1.013869	0.012310
YCR088W	1.012193	0.010330
YCR089W	1.041506	0.010574
YCR090C	0.997731	0.021953
YCR091W	0.983182	0.009091
YCR092C	0.973752	0.012226
YCR094W	0.442691	0.063227
YCR095C	1.025346	0.010037
YCR095W-A	NaN	NaN
YCR097W	NaN	NaN
YCR098C	1.028702	0.006916
YCR099C	1.025654	0.011042
YCR100C	1.014431	0.009566
YCR101C	1.011092	0.008253
YCR102C	1.063505	0.013783
YCR102W-A	1.001129	0.017016
YCR104W	0.611808	0.061478
YCR105W	1.038420	0.009403
YCR106W	0.999080	0.008379
YCR107W	1.041535	0.005741
YDL001W	0.990527	0.008347
YDL002C	0.698852	0.019082
YDL005C	0.401922	0.016221
YDL006W	0.552764	0.021679
YDL010W	1.002646	0.007180
YDL011C	1.015539	0.010064
YDL012C	1.022754	0.007943
YDL013W	0.530655	0.026036
YDL018C	1.006854	0.005949
YDL019C	1.026778	0.007302
YDL020C	0.790193	0.012071
YDL021W	0.706226	0.053994
YDL022W	1.000026	0.006786
YDL023C	0.979022	0.007764
YDL024C	0.977572	0.008103
YDL025C	1.039750	0.006342
YDL026W	1.005218	0.006419
YDL027C	1.044111	0.012589
YDL033C	0.738170	0.062964
YDL034W	NaN	NaN
YDL035C	0.802450	0.021066
YDL036C	1.048592	0.010135
YDL037C	0.997038	0.008155
YDL038C	1.034285	0.006897
YDL039C	1.042207	0.013797
YDL040C	0.547145	0.019911
YDL041W	NaN	NaN
YDL042C	NaN	NaN
YDL044C	0.566123	0.047466
YDL045W-A	0.497786	0.069211
YDL046W	NaN	NaN
YDL047W	NaN	NaN
YDL048C	1.036583	0.012285
YDL049C	1.016821	0.004869
YDL050C	0.980973	0.011998
YDL051W	1.051336	0.005833
YDL052C	0.938020	0.014728
YDL053C	0.994794	0.010015
YDL054C	1.035005	0.009026
YDL056W	0.953882	0.017637
YDL057W	1.014530	0.009252
YDL059C	1.036503	0.006969
YDL061C	0.667836	0.021940
YDL062W	0.825389	0.022598
YDL063C	0.916813	0.017295
YDL065C	0.863022	0.009648
YDL066W	1.044432	0.007388
YDL067C	0.685410	0.039464
YDL069C	0.723138	0.047419
YDL070W	0.987934	0.007579
YDL071C	0.989354	0.011104
YDL072C	NaN	NaN
YDL073W	1.079166	0.009076
YDL074C	0.643011	0.030730
YDL076C	0.938341	0.009690
YDL077C	0.760098	0.016326
YDL078C	1.042411	0.017089
YDL079C	1.005184	0.005856
YDL080C	0.982181	0.009015
YDL081C	0.514978	0.051092
YDL082W	0.789184	0.015347
YDL083C	0.717762	0.026893
YDL085C-A	1.083572	0.015859
YDL085W	1.036343	0.006271
YDL086W	1.030805	0.011060
YDL088C	0.992301	0.009075
YDL089W	0.997485	0.008600
YDL090C	NaN	NaN
YDL091C	1.022921	0.006667
YDL093W	0.989869	0.007642
YDL094C	0.958775	0.014397
YDL095W	1.014090	0.007263
YDL096C	0.988943	0.010082
YDL099W	1.004510	0.007995
YDL100C	0.974680	0.006134
YDL101C	0.935017	0.014806
YDL104C	0.925357	0.012962
YDL106C	1.029141	0.009406
YDL107W	0.707668	0.054666
YDL109C	1.019002	0.008260
YDL110C	1.005873	0.006803
YDL112W	0.970134	0.007556
YDL113C	0.984944	0.006973
YDL114W	0.996649	0.013189
YDL115C	0.874768	0.018555
YDL116W	0.564544	0.035728
YDL117W	0.868268	0.012284
YDL118W	0.987762	0.012471
YDL119C	0.992932	0.007862
YDL121C	0.994850	0.009183
YDL122W	1.003610	0.010584
YDL123W	1.008713	0.012428
YDL124W	1.028435	0.009142
YDL125C	1.056624	0.009879
YDL127W	1.036132	0.008616
YDL128W	0.993769	0.010401
YDL129W	1.013720	0.006203
YDL130W	0.794178	0.011872
YDL130W-A	1.052415	0.010513
YDL131W	1.003427	0.006894
YDL133C-A	0.961977	0.007862
YDL133W	1.002573	0.007826
YDL134C	1.009671	0.007269
YDL134C-A	0.993370	0.011614
YDL135C	1.115844	0.013089
YDL136W	0.828113	0.011470
YDL137W	0.978963	0.009008
YDL138W	1.027087	0.005639
YDL142C	0.893276	0.007960
YDL144C	1.014135	0.007390
YDL146W	0.991777	0.009465
YDL149W	1.006850	0.007538
YDL154W	0.946503	0.022735
YDL155W	1.036223	0.007968
YDL156W	0.960094	0.012118
YDL157C	0.949840	0.007819
YDL159W	NaN	NaN
YDL159W-A	1.139082	0.010035
YDL160C	NaN	NaN
YDL160C-A	1.056559	0.011499
YDL161W	1.008518	0.007972
YDL162C	0.982446	0.011693
YDL167C	0.967198	0.012017
YDL168W	1.009367	0.012367
YDL169C	1.012953	0.009073
YDL170W	1.004821	0.007084
YDL171C	1.015005	0.011542
YDL172C	0.977994	0.013639
YDL173W	0.973058	0.009254
YDL174C	1.043317	0.008808
YDL175C	0.985435	0.007950
YDL176W	1.034358	0.007674
YDL177C	1.015211	0.007900
YDL178W	1.060842	0.009159
